"","division","season","year","sex","cw","mature","ncrab","tows","ncrabS","npt","nptS"
"1","2HJ","Fall",1995,1,10,"Imm",3,116,8.64751577606117,0.0258620689655172,0.0745475497936308
"2","2HJ","Fall",1995,1,11,"Imm",4,116,11.4529979231772,0.0344827586206897,0.0987327407170445
"3","2HJ","Fall",1995,1,12,"Imm",6,116,17.0652261344618,0.0517241379310345,0.147114018400533
"4","2HJ","Fall",1995,1,13,"Imm",6,116,16.9522054743103,0.0517241379310345,0.146139702364744
"5","2HJ","Fall",1995,1,14,"Imm",23,116,64.5549480432485,0.198275862068966,0.556508172786625
"6","2HJ","Fall",1995,1,15,"Imm",13,116,36.2480297216295,0.112068965517241,0.312483014841634
"7","2HJ","Fall",1995,1,16,"Imm",4,116,11.0803386831964,0.0344827586206897,0.0955201610620376
"8","2HJ","Fall",1995,1,17,"Imm",5,116,13.7602937139886,0.0431034482758621,0.118623221672316
"9","2HJ","Fall",1995,1,18,"Imm",21,116,57.4188302818938,0.181034482758621,0.494989916223223
"10","2HJ","Fall",1995,1,19,"Imm",28,116,76.0646971105965,0.241379310344828,0.655730147505142
"11","2HJ","Fall",1995,1,20,"Imm",27,116,72.8771997140483,0.232758620689655,0.62825172167283
"12","2HJ","Fall",1995,1,21,"Imm",16,116,42.9104889892276,0.137931034482759,0.369918008527824
"13","2HJ","Fall",1995,1,22,"Imm",8,116,21.3187543095628,0.0689655172413793,0.183782364737611
"14","2HJ","Fall",1995,1,23,"Imm",4,116,10.5918786445431,0.0344827586206897,0.0913092986598545
"15","2HJ","Fall",1995,1,24,"Imm",5,116,13.1563981864874,0.0431034482758621,0.113417225745581
"16","2HJ","Fall",1995,1,25,"Imm",6,116,15.6886331860032,0.0517241379310345,0.135246837810372
"17","2HJ","Fall",1995,1,26,"Imm",5,116,12.992226724123,0.0431034482758621,0.112001954518302
"18","2HJ","Fall",1995,1,27,"Imm",4,116,10.3291884128024,0.0344827586206897,0.089044727696572
"19","2HJ","Fall",1995,1,28,"Imm",2,116,5.13265103767641,0.0172413793103448,0.044246991704107
"20","2HJ","Fall",1995,1,29,"Imm",2,116,5.10105731831252,0.0172413793103448,0.0439746320544183
"21","2HJ","Fall",1995,1,31,"Imm",1,116,2.51945148898713,0.00862068965517241,0.0217194093878201
"22","2HJ","Fall",1995,1,32,"Imm",1,116,2.50416741812443,0.00862068965517241,0.0215876501562451
"23","2HJ","Fall",1995,1,33,"Imm",1,116,2.48905055073615,0.00862068965517241,0.0214573323339323
"24","2HJ","Fall",1995,1,35,"Imm",1,116,2.45931112975573,0.00862068965517241,0.0212009580151356
"25","2HJ","Fall",1995,1,37,"Imm",2,116,4.86043766317113,0.0172413793103448,0.0419003246825097
"26","2HJ","Fall",1995,1,38,"Imm",2,116,4.83182188223795,0.0172413793103448,0.0416536369158444
"27","2HJ","Fall",1995,1,41,"Imm",1,116,2.37391958511947,0.00862068965517241,0.0204648240096506
"28","2HJ","Fall",1995,1,42,"Imm",1,116,2.36022759271437,0.00862068965517241,0.0203467895923653
"29","2HJ","Fall",1995,1,43,"Imm",4,116,9.3867415475568,0.0344827586206897,0.0809201857548
"30","2HJ","Fall",1995,1,44,"Imm",1,116,2.33329132902052,0.00862068965517241,0.0201145804225907
"31","2HJ","Fall",1995,1,45,"Imm",2,116,4.64008759682198,0.0172413793103448,0.0400007551450171
"32","2HJ","Fall",1995,1,46,"Mat",1,116,2.30694119209324,0.00862068965517241,0.0198874240697693
"33","2HJ","Fall",1995,1,47,"Imm",1,116,2.29398192463593,0.00862068965517241,0.0197757062468615
"34","2HJ","Fall",1995,1,48,"Imm",2,116,4.56232885590375,0.0172413793103448,0.039330421171584
"35","2HJ","Fall",1995,1,48,"Mat",1,116,2.28116442795187,0.00862068965517241,0.019665210585792
"36","2HJ","Fall",1995,1,49,"Imm",2,116,4.53697430221668,0.0172413793103448,0.0391118474329024
